,0
0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,1
307,1
308,1
309,1
310,0
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,1
373,0
374,1
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,0
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,0
540,0
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,0
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,1
576,0
577,0
578,1
579,1
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,0
596,1
597,0
598,0
599,0
600,1
601,0
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,1
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,0
639,0
640,0
641,1
642,1
643,0
644,0
645,1
646,1
647,0
648,0
649,0
650,1
651,1
652,1
653,1
654,0
655,1
656,0
657,0
658,0
659,0
660,0
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,1
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,1
690,0
691,0
692,1
693,1
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,0
710,0
711,1
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,1
731,1
732,1
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,0
748,0
749,0
750,0
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,0
759,1
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,1
768,0
769,1
770,1
771,0
772,1
773,0
774,0
775,1
776,1
777,1
778,0
779,0
780,0
781,1
782,1
783,1
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,0
801,1
802,0
803,0
804,0
805,0
806,1
807,1
808,0
809,1
810,0
811,1
812,0
813,1
814,0
815,0
816,1
817,1
818,1
819,1
820,0
821,1
822,0
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,1
838,1
839,0
840,0
841,0
842,0
843,0
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,1
852,0
853,1
854,0
855,0
856,1
857,0
858,1
859,1
860,0
861,1
862,0
863,1
864,0
865,0
866,0
867,0
868,0
869,1
870,1
871,0
872,1
873,0
874,1
875,1
876,1
877,0
878,1
879,1
880,0
881,0
882,1
883,0
884,0
885,1
886,0
887,1
888,1
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,1
915,0
916,1
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,1
929,0
930,0
931,1
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,0
943,1
944,0
945,1
946,1
947,1
948,0
949,0
950,1
951,1
952,1
953,0
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,1
977,1
978,1
979,1
980,1
981,1
982,0
983,1
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,0
995,0
996,1
997,1
998,0
999,0
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,0
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,1
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,1
1060,1
